iteration,cost
929,114272935.59330033
930,114257951.23546283
931,114242977.16492455
932,114228013.3738538
933,114213059.85443689
934,114198116.59887785
935,114183183.59939809
936,114168260.84823623
937,114153348.3376481
938,114138446.05990632
939,114123554.00730005
940,114108672.17213516
941,114093800.54673383
942,114078939.12343399
943,114064087.8945899
944,114049246.85257135
945,114034415.98976392
946,114019595.2985684
947,114004784.77140078
948,113989984.40069215
949,113975194.17888884
950,113960414.09845138
951,113945644.1518553
952,113930884.33159035
953,113916134.6301605
954,113901395.04008408
955,113886665.55389321
956,113871946.16413374
957,113857236.86336538
958,113842537.64416127
959,113827848.49910803
960,113813169.42080538
961,113798500.40186632
962,113783841.43491656
963,113769192.51259503
964,113754553.62755308
965,113739924.77245477
966,113725305.93997657
967,113710697.12280738
968,113696098.31364807
969,113681509.50521189
970,113666930.69022395
971,113652361.86142117
972,113637803.0115522
973,113623254.13337742
974,113608715.21966861
975,113594186.26320893
976,113579667.25679299
977,113565158.19322647
978,113550659.06532623
979,113536169.8659199
980,113521690.58784625
981,113507221.2239546
982,113492761.7671051
983,113478312.21016847
984,113463872.54602566
985,113449442.76756842
986,113435022.86769849
987,113420612.83932805
988,113406212.67537902
989,113391822.36878376
990,113377441.91248417
991,113363071.29943253
992,113348710.52259031
993,113334359.574929
994,113320018.44942963
995,113305687.13908267
996,113291365.6368881
997,113277053.9358553
998,113262752.02900271
999,113248459.90935835
1000,113234177.56995896
1001,113219905.00385068
1002,113205642.20408836
1003,113191389.16373587
1004,113177145.87586607
1005,113162912.33356032
1006,113148688.5299089
1007,113134474.4580106
1008,113120270.11097273
1009,113106075.48191127
1010,113091890.56395055
1011,113077715.35022318
1012,113063549.83387025
1013,113049394.008041
1014,113035247.86589281
1015,113021111.40059134
1016,113006984.60531013
1017,112992867.47323082
1018,112978759.99754304
1019,112964662.17144433
1020,112950573.98813997
1021,112936495.44084303
1022,112922426.5227744
1023,112908367.22716254
1024,112894317.54724364
1025,112880277.47626139
1026,112866247.00746708
1027,112852226.13411929
1028,112838214.84948424
1029,112824213.1468355
1030,112810221.0194537
1031,112796238.460627
1032,112782265.46365088
1033,112768302.02182774
1034,112754348.12846722
1035,112740403.77688615
1036,112726468.96040823
1037,112712543.67236428
1038,112698627.9060922
1039,112684721.65493657
1040,112670824.91224895
1041,112656937.67138785
1042,112643059.9257184
1043,112629191.6686127
1044,112615332.89344934
1045,112601483.59361365
1046,112587643.76249775
1047,112573813.39350033
1048,112559992.48002651
1049,112546181.01548798
1050,112532378.99330303
1051,112518586.40689637
1052,112504803.24969907
1053,112491029.51514879
1054,112477265.19668923
1055,112463510.28777066
1056,112449764.78184947
1057,112436028.67238867
1058,112422301.95285706
1059,112408584.61672978
1060,112394876.65748832
1061,112381178.06862006
1062,112367488.84361862
1063,112353808.97598366
1064,112340138.45922086
1065,112326477.2868419
1066,112312825.45236467
1067,112299182.94931266
1068,112285549.77121556
1069,112271925.91160883
1070,112258311.36403385
1071,112244706.12203795
1072,112231110.17917407
1073,112217523.52900118
1074,112203946.16508387
1075,112190378.08099252
1076,112176819.27030317
1077,112163269.72659783
1078,112149729.44346374
1079,112136198.41449408
1080,112122676.63328779
1081,112109164.09344906
1082,112095660.78858782
1083,112082166.71231969
1084,112068681.8582656
1085,112055206.22005223
1086,112041739.7913115
1087,112028282.56568098
1088,112014834.53680363
1089,112001395.69832794
1090,111987966.04390758
1091,111974545.56720187
1092,111961134.26187535
1093,111947732.1215978
1094,111934339.14004461
1095,111920955.31089643
1096,111907580.6278388
1097,111894215.08456308
1098,111880858.67476562
1099,111867511.39214802
1100,111854173.2304171
1101,111840844.1832849
1102,111827524.24446864
1103,111814213.40769067
1104,111800911.66667852
1105,111787619.01516497
1106,111774335.44688772
1107,111761060.95558965
1108,111747795.53501868
1109,111734539.17892791
1110,111721291.88107543
1111,111708053.63522428
1112,111694824.4351427
1113,111681604.2746038
1114,111668393.14738569
1115,111655191.04727143
1116,111641997.96804927
1117,111628813.90351206
1118,111615638.84745784
1119,111602472.79368947
1120,111589315.73601471
1121,111576167.66824614
1122,111563028.58420148
1123,111549898.477703
1124,111536777.34257807
1125,111523665.17265876
1126,111510561.96178186
1127,111497467.70378926
1128,111484382.39252746
1129,111471306.02184775
1130,111458238.58560619
1131,111445180.07766369
1132,111432130.49188593
1133,111419089.82214308
1134,111406058.06231038
1135,111393035.2062676
1136,111380021.24789914
1137,111367016.18109424
1138,111354019.99974687
1139,111341032.69775541
1140,111328054.26902312
1141,111315084.70745797
1142,111302124.00697224
1143,111289172.1614832
1144,111276229.16491254
1145,111263295.01118654
1146,111250369.6942363
1147,111237453.2079972
1148,111224545.54640944
1149,111211646.70341766
1150,111198756.67297101
1151,111185875.44902341
1152,111173003.0255331
1153,111160139.39646296
1154,111147284.55578034
1155,111134438.49745709
1156,111121601.21546961
1157,111108772.70379876
1158,111095952.95642994
1159,111083141.96735291
1160,111070339.73056208
1161,111057546.24005608
1162,111044761.48983824
1163,111031985.47391604
1164,111019218.18630174
1165,111006459.62101176
1166,110993709.77206698
1167,110980968.63349277
1168,110968236.19931889
1169,110955512.46357939
1170,110942797.42031276
1171,110930091.063562
1172,110917393.3873742
1173,110904704.3858011
1174,110892024.05289868
1175,110879352.38272712
1176,110866689.36935122
1177,110854035.00683977
1178,110841389.28926621
1179,110828752.21070816
1180,110816123.76524751
1181,110803503.94697052
1182,110790892.74996774
1183,110778290.16833396
1184,110765696.19616838
1185,110753110.82757418
1186,110740534.05665918
1187,110727965.8775352
1188,110715406.2843185
1189,110702855.2711294
1190,110690312.83209257
1191,110677778.96133702
