step,alpha_1e-05,alpha_0.0001,alpha_0.001
331,951507719.2040372,128604290.74127239,4.562354042467192e+70
332,947449797.8108492,128527406.71064907,6.942010232789707e+70
333,943431867.6364865,128451455.12554501,1.056285979202446e+71
334,939453443.3738358,128376420.29587716,1.6072290769460599e+71
335,935514045.834265,128302286.8031485,2.445535921750406e+71
336,931613201.8693984,128229039.49568522,3.721091181311623e+71
337,927750444.293923,128156663.48395824,5.66195714259818e+71
338,923925311.8094063,128085144.135988,8.615149998371914e+71
339,920137348.9291126,128014467.0728301,1.3108684439880588e+72
340,916386105.9038028,127944618.16414213,1.9945979788725834e+72
341,912671138.6485074,127875583.52382787,3.0349506966687107e+72
342,908992008.6702547,127807349.50575952,4.61793595941386e+72
343,905348282.9967436,127739902.69957565,7.026582853110326e+72
344,901739534.1059436,127673229.92655304,1.0691544236549093e+73
345,898165339.8566188,127607318.2355524,1.6268095111336658e+73
346,894625283.4197494,127542154.89903572,2.4753292199529538e+73
347,891118953.2108498,127477727.40915349,3.766424221901082e+73
348,887645942.8231645,127414023.47390226,5.730935224686106e+73
349,884205850.9617347,127351031.01334941,8.720106024851967e+73
350,880798281.3783149,127288738.1559251,1.3268383972848763e+74
351,877422842.8071402,127227133.23477964,2.0188976229097933e+74
352,874079148.9015214,127166204.78420557,3.071924674573385e+74
353,870766818.1712639,127105941.53612286,4.674195015719449e+74
354,867485473.9208931,127046332.41662619,7.11218579863476e+74
355,864234744.1886824,126987366.54259346,1.082179640861994e+75
356,861014261.6864685,126929033.21835414,1.6466284884191263e+75
357,857823663.740242,126871321.93241632,2.5054854817946343e+75
358,854662592.2315065,126814222.35425244,3.81230954257962e+75
359,851530693.5393945,126757724.3311403,5.800753647965021e+75
360,848427618.4835281,126701817.88506146,8.826340702022556e+75
361,845353022.2676182,126646493.20965347,1.3430029081740079e+76
362,842306564.4237884,126591740.66721597,2.0434933028933888e+76
363,839287908.7576145,126537550.78577004,3.109349096382659e+76
364,836296723.293876,126483914.25616913,4.7311394607883664e+76
365,833332680.2229989,126430821.92926109,7.198831621534372e+76
366,830395455.8481909,126378264.81310023,1.0953635407434758e+77
367,827484730.5332555,126326234.07020862,1.6666889149080427e+77
368,824600188.6510748,126274721.01488547,2.5360091291626215e+77
369,821741518.5327542,126223717.11056447,3.8587538716251685e+77
370,818908412.4174207,126173213.96721698,5.871422650082818e+77
371,816100566.4026629,126123203.33880144,8.933869607336875e+77
372,813317680.3956082,126073677.12075803,1.3593643468976252e+78
373,810559458.0646261,126024627.34754634,2.0683886253487002e+78
374,807825606.7916504,125976046.19022815,3.147229449731981e+78
375,805115837.6251129,125927925.95409082,4.788777644525296e+78
376,802429865.2334766,125880259.0763141,7.286533026900276e+78
377,799767407.8593678,125833038.12367721,1.1087080564871707e+79
378,797128187.2742918,125786255.79030637,1.686993732110318e+79
379,794511928.7339272,125739904.89546236,2.5669046378147516e+79
380,791918360.933996,125693978.3813662,3.905764019284458e+79
381,789347215.9666935,125648469.31106399,5.942952593409898e+79
382,786798229.2776752,125603370.86632879,9.04270850802396e+79
383,784271139.6235958,125558676.34559928,1.3759251125739053e+80
384,781765689.0301877,125514379.16195507,2.093587240738356e+80
385,779281622.7508767,125470472.84112725,3.1855712891111354e+80
